# Migration is number of nodes that have changed color.

Round		Edge-Cut		Swaps		Migrations		Skipped
330		41250		876308		2046
331		41251		878963		2048
332		41251		881600		2049
333		41254		884247		2051
334		41254		886885		2052
335		41253		889525		2051
336		41253		892165		2044
337		41259		894809		2042
338		41256		897439		2039
339		41255		900071		2040
340		41252		902697		2040
341		41248		905349		2042
342		41249		907996		2039
343		41248		910636		2040
344		41249		913284		2040
345		41247		915920		2041
346		41247		918572		2040
347		41245		921206		2038
348		41247		923848		2042
349		41246		926496		2041
350		41251		929137		2042
351		41249		931780		2045
352		41249		934427		2046
353		41249		937077		2045
354		41249		939738		2046
355		41254		942381		2049
356		41251		945025		2046
357		41249		947666		2049
358		41243		950314		2045
359		41245		952950		2047
360		41245		955581		2049
361		41248		958219		2050
362		41245		960871		2045
363		41239		963517		2045
364		41237		966161		2046
365		41236		968819		2044
366		41241		971449		2044
367		41242		974072		2048
368		41242		976729		2044
369		41240		979373		2042
370		41237		982018		2046
371		41240		984667		2037
372		41242		987318		2040
373		41248		989973		2033
374		41243		992622		2041
375		41245		995278		2041
376		41242		997933		2040
377		41242		1000569		2040
378		41241		1003223		2039
379		41240		1005878		2039
380		41243		1008515		2037
381		41240		1011149		2042
382		41239		1013799		2046
383		41239		1016449		2047
384		41238		1019082		2048
385		41241		1021745		2045
386		41241		1024399		2044
387		41247		1027053		2045
388		41244		1029686		2043
389		41245		1032322		2043
390		41244		1034972		2046
391		41243		1037626		2044
392		41237		1040273		2048
393		41240		1042907		2045
394		41238		1045538		2048
395		41241		1048183		2045
396		41239		1050835		2049
397		41240		1053484		2048
398		41242		1056127		2051
399		41238		1058768		2051
400		41241		1061425		2053
401		41239		1064054		2049
402		41239		1066694		2051
